"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"14_FUMO_SI","fumatori","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2022","2022",448,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2023","2023",439,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2022","2022",153,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2023","2023",164,,
"14_FUMO_NO","non fumatori","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2022","2022",979,,
"14_FUMO_NO","non fumatori","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2023","2023",877,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2022","2022",257,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2023","2023",294,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2022","2022",126,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2023","2023",113,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",705,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2023","2023",733,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",279,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2023","2023",276,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2022","2022",28,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y20-24","20-24 anni","2023","2023",29.4,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2022","2022",18.9,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2023","2023",20.8,,
"14_FUMO_EX","ex fumatori","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2022","2022",9.3,,
"14_FUMO_EX","ex fumatori","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2023","2023",8,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y20-24","20-24 anni","2022","2022",23.8,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y20-24","20-24 anni","2023","2023",25.2,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","1","maschi","Y25-34","25-34 anni","2022","2022",1032,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","1","maschi","Y25-34","25-34 anni","2023","2023",1065,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","1","maschi","Y25-34","25-34 anni","2022","2022",538,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","1","maschi","Y25-34","25-34 anni","2023","2023",514,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","2","femmine","Y25-34","25-34 anni","2022","2022",590,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","2","femmine","Y25-34","25-34 anni","2023","2023",588,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","2","femmine","Y25-34","25-34 anni","2022","2022",493,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","2","femmine","Y25-34","25-34 anni","2023","2023",500,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",1622,,
"14_FUMO_SI","fumatori","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2023","2023",1653,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2022","2022",1030,,
"14_FUMO_EX","ex fumatori","THV","valori in migliaia","9","totale","Y25-34","25-34 anni","2023","2023",1014,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-34","25-34 anni","2022","2022",32.6,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-34","25-34 anni","2023","2023",33.9,,
"14_FUMO_EX","ex fumatori","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-34","25-34 anni","2022","2022",17,,
"14_FUMO_EX","ex fumatori","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y25-34","25-34 anni","2023","2023",16.4,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y25-34","25-34 anni","2022","2022",19.4,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y25-34","25-34 anni","2023","2023",19.6,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2022","2022",26.2,,
"14_FUMO_SI","fumatori","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2023","2023",26.9,,
"14_FUMO_EX","ex fumatori","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2022","2022",16.6,,
"14_FUMO_EX","ex fumatori","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2023","2023",16.5,,
