"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y45-54","45-54 anni","2022","2022",2814,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y45-54","45-54 anni","2023","2023",2733,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2022","2022",66.2,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2023","2023",64.8,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y55-59","55-59 anni","2022","2022",52.1,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y55-59","55-59 anni","2023","2023",54,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2022","2022",77.6,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE75","75 anni e più","2023","2023",78,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2022","2022",5916,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y35-44","35-44 anni","2023","2023",5785,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y15-17","15-17 anni","2022","2022",85.8,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y15-17","15-17 anni","2023","2023",85.5,,
"3_CCUT","salumi almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y35-44","35-44 anni","2022","2022",2342,,
"3_CCUT","salumi almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y35-44","35-44 anni","2023","2023",2302,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2022","2022",76.7,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2023","2023",76.9,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE75","75 anni e più","2022","2022",50.4,,
"3_CCUT","salumi almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE75","75 anni e più","2023","2023",52.7,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y65-74","65-74 anni","2022","2022",2110,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y65-74","65-74 anni","2023","2023",2005,,
"3_CCUT","salumi almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y45-54","45-54 anni","2022","2022",2987,,
"3_CCUT","salumi almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y45-54","45-54 anni","2023","2023",3042,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y11-14","11-14 anni","2022","2022",55.7,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y11-14","11-14 anni","2023","2023",49.7,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y3-5","3-5 anni","2022","2022",40,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y3-5","3-5 anni","2023","2023",43.8,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2022","2022",43.3,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2023","2023",45.5,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y25-34","25-34 anni","2022","2022",1730,,
"3_PORK","carni maiale almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y25-34","25-34 anni","2023","2023",1634,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2022","2022",7444,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y45-54","45-54 anni","2023","2023",7310,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y60-64","60-64 anni","2022","2022",65.8,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y60-64","60-64 anni","2023","2023",67.7,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2022","2022",70.5,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2023","2023",70.8,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y65-74","65-74 anni","2022","2022",69.8,,
"3_EGG","uova  almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y65-74","65-74 anni","2023","2023",67.8,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y_GE3","3 anni e più","2022","2022",20219,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","2","femmine","Y_GE3","3 anni e più","2023","2023",20025,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2022","2022",2653,,
"3_EGG","uova  almeno qualche volta alla settimana","THV","valori in migliaia","9","totale","Y60-64","60-64 anni","2023","2023",2740,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2022","2022",927,,
"3_FISH","pesce almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2023","2023",907,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE3","3 anni e più","2022","2022",46.9,,
"3_PORK","carni maiale almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE3","3 anni e più","2023","2023",48.7,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y_GE75","75 anni e più","2022","2022",2291,,
"3_WH_MEAT","carni bianche almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y_GE75","75 anni e più","2023","2023",2246,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE3","3 anni e più","2022","2022",61.6,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE3","3 anni e più","2023","2023",61.2,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE3","3 anni e più","2022","2022",62.7,,
"3_FISH","pesce almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y_GE3","3 anni e più","2023","2023",60.1,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y65-74","65-74 anni","2022","2022",57.4,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y65-74","65-74 anni","2023","2023",55.7,,
"3_BEEF","carni bovine almeno qualche volta alla settimana","THV","valori in migliaia","1","maschi","Y15-17","15-17 anni","2022","2022",616,,
