"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"0_CHRONIC_BRONC","malati cronici - affetti da bronchite cronica","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y35-44","35-44 anni","2022","2022",4,,
"0_CHRONIC_GH","persone con malattie croniche in buona salute","THV","valori in migliaia","2","femmine","Y35-44","35-44 anni","2022","2022",515,,
"0_CHRONIC_GH","persone con malattie croniche in buona salute","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y20-24","20-24 anni","2022","2022",74.7,,
"0_CHRONIC_GASTR","malati cronici - affetti da ulcera gastrica o duodenale","THV","valori in migliaia","2","femmine","Y_GE75","75 anni e più","2022","2022",156,,
"0_CHRONIC_GH","persone con malattie croniche in buona salute","THV","valori in migliaia","2","femmine","Y60-64","60-64 anni","2022","2022",511,,
"0_GOOD_H","persone in buona salute","THV","valori in migliaia","1","maschi","Y20-24","20-24 anni","2022","2022",1458,,
"0_CHRONIC_GASTR","malati cronici - affetti da ulcera gastrica o duodenale","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2022","2022",5.2,,
"0_ALEAST_2CRON","persone con almeno due malattie croniche","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2022","2022",74,,
"0_CHRONIC_DIAB","malati cronici - affetti da diabete","THV","valori in migliaia","1","maschi","Y0-14","0-14 anni","2022","2022",21,,
"0_CHRONIC_HYP","malati cronici - affetti da ipertensione","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y0-14","0-14 anni","2022","2022",0,,
"0_CHRONIC_GH","persone con malattie croniche in buona salute","THV","valori in migliaia","9","totale","Y55-59","55-59 anni","2022","2022",1152,,
"0_CHRONIC_ARTH","malati cronici - affetti da artrosi, artrite","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y35-44","35-44 anni","2022","2022",2.9,,
"0_CHRONIC_DIAB","malati cronici - affetti da diabete","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y55-59","55-59 anni","2022","2022",8.4,,
"0_GOOD_H","persone in buona salute","THV","valori in migliaia","1","maschi","Y18-19","18-19 anni","2022","2022",533,,
"0_CHRONIC_HYP","malati cronici - affetti da ipertensione","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y55-59","55-59 anni","2022","2022",23.7,,
"0_CHRONIC_DIAB","malati cronici - affetti da diabete","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y_GE75","75 anni e più","2022","2022",21.6,,
"0_CHRONIC_GASTR","malati cronici - affetti da ulcera gastrica o duodenale","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",12,,
"0_CHRONIC_GH","persone con malattie croniche in buona salute","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y55-59","55-59 anni","2022","2022",44.5,,
"0_CHRONIC_NERVOUS","malati cronici - affetti da disturbi nervosi","THV","valori in migliaia","1","maschi","Y55-59","55-59 anni","2022","2022",88,,
"0_CHRONIC_BRONC","malati cronici - affetti da bronchite cronica","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y45-54","45-54 anni","2022","2022",4.8,,
"0_CHRONIC_GH","persone con malattie croniche in buona salute","THV","valori in migliaia","9","totale","Y15-17","15-17 anni","2022","2022",227,,
"0_ALEAST_1CRON","persone  con almeno una malattia cronica","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE75","75 anni e più","2022","2022",83.4,,
"0_CHRONIC_ALLER","malati cronici - affetti da malattie allergiche","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y25-34","25-34 anni","2022","2022",13.5,,
"0_ALEAST_2CRON","persone con almeno due malattie croniche","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y15-17","15-17 anni","2022","2022",3.5,,
"0_CHRONIC_ARTH","malati cronici - affetti da artrosi, artrite","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y45-54","45-54 anni","2022","2022",9.1,,
"0_CHRONIC_BRONC","malati cronici - affetti da bronchite cronica","THV","valori in migliaia","2","femmine","Y65-74","65-74 anni","2022","2022",335,,
"0_CHRONIC_GASTR","malati cronici - affetti da ulcera gastrica o duodenale","THV","valori in migliaia","1","maschi","Y_GE0","0 anni e più","2022","2022",647,,
"0_ALEAST_2CRON","persone con almeno due malattie croniche","THV","valori in migliaia","2","femmine","Y15-17","15-17 anni","2022","2022",31,,
"0_CHRONIC_OSTEO","malati cronici - affetti da osteoporosi","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y45-54","45-54 anni","2022","2022",5.2,,
